Loan_Status,ApplicantIncome,CoapplicantIncome,TotalIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender,Married,Dependents,Education,Self_Employed,Property_Area
Y,5849.0,0.0,5849.0,128.0,360.0,1,Male,No,0,Graduate,No,Urban
N,4583.0,1508.0,6091.0,128.0,360.0,1,Male,Yes,1,Graduate,No,Rural
Y,3000.0,0.0,3000.0,66.0,360.0,1,Male,Yes,0,Graduate,Yes,Urban
Y,2583.0,2358.0,4941.0,120.0,360.0,1,Male,Yes,0,Not Graduate,No,Urban
Y,6000.0,0.0,6000.0,141.0,360.0,1,Male,No,0,Graduate,No,Urban
Y,5417.0,4196.0,9613.0,261.5,360.0,1,Male,Yes,2,Graduate,Yes,Urban
Y,2333.0,1516.0,3849.0,95.0,360.0,1,Male,Yes,0,Not Graduate,No,Urban
N,3036.0,2504.0,5540.0,158.0,360.0,0,Male,Yes,3,Graduate,No,Semiurban
Y,4006.0,1526.0,5532.0,168.0,360.0,1,Male,Yes,2,Graduate,No,Urban
N,10171.25,5743.125,15914.375,261.5,360.0,1,Male,Yes,1,Graduate,No,Semiurban
Y,3200.0,700.0,3900.0,70.0,360.0,1,Male,Yes,2,Graduate,No,Urban
Y,2500.0,1840.0,4340.0,109.0,360.0,1,Male,Yes,2,Graduate,No,Urban
Y,3073.0,5743.125,8816.125,200.0,360.0,1,Male,Yes,2,Graduate,No,Urban
N,1853.0,2840.0,4693.0,114.0,360.0,1,Male,No,0,Graduate,No,Rural
Y,1299.0,1086.0,2385.0,17.0,120.0,1,Male,Yes,2,Graduate,No,Urban
Y,4950.0,0.0,4950.0,125.0,360.0,1,Male,No,0,Graduate,No,Urban
Y,3596.0,0.0,3596.0,100.0,240.0,1,Male,No,1,Not Graduate,No,Urban
N,3510.0,0.0,3510.0,76.0,360.0,0,Female,No,0,Graduate,No,Urban
N,4887.0,0.0,4887.0,133.0,360.0,1,Male,Yes,0,Not Graduate,No,Rural
Y,2600.0,3500.0,6100.0,115.0,360.0,1,Male,Yes,0,Graduate,No,Urban
N,7660.0,0.0,7660.0,104.0,360.0,0,Male,Yes,0,Not Graduate,No,Urban
Y,5955.0,5625.0,11580.0,261.5,360.0,1,Male,Yes,1,Graduate,No,Urban
N,2600.0,1911.0,4511.0,116.0,360.0,0,Male,Yes,0,Not Graduate,No,Semiurban
N,3365.0,1917.0,5282.0,112.0,360.0,0,Male,Yes,2,Not Graduate,No,Rural
N,3717.0,2925.0,6642.0,151.0,360.0,1,Male,Yes,1,Graduate,No,Semiurban
Y,9560.0,0.0,9560.0,191.0,360.0,1,Male,Yes,0,Graduate,Yes,Semiurban
Y,2799.0,2253.0,5052.0,122.0,360.0,1,Male,Yes,0,Graduate,No,Semiurban
Y,4226.0,1040.0,5266.0,110.0,360.0,1,Male,Yes,2,Not Graduate,No,Urban
N,1442.0,0.0,1442.0,35.0,360.0,1,Male,No,0,Not Graduate,No,Urban
Y,3750.0,2083.0,5833.0,120.0,360.0,1,Female,No,2,Graduate,No,Semiurban
